"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","sample_filter","sal_pa","sal_vol","sal_molecular","sal_inva","sal_ttr","pec_pa","stec_pa","epec_pa","pec_vol","pec_molecular","pec_stx","pec_eaea","pec_rfb0157","pec_hly","pec_h7flic","lm_pa","ls_pa","lm_vol","lm_molecular_culture","lm_confirm","lm_sigb","ec","ec_methodf","ec_methodm","ec_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","pawq","pawq_g_81","2018-08-28","az","Mountain","NORTH AMERICAN DESERTS","WARM DESERTS","Gila","Sonoran Desert","xeric freshwaters and endorheic (closed) basins","Deserts and Xeric Shrublands","Lower Colorado Region","Mountains","Pacific","freshwater","canal","canal","surfacewater","canal","grabsample","modifiedmooreswab",0,10000,"culture","y","n",1,"n","p",10000,"molecular","y","y","n","n","n",NA,NA,NA,NA,NA,NA,7.3,"idexxquantitray","mpn","mpn",3629.4,"idexxquantitray","mpn","mpn"
"2","pawq","pawq_g_83","2018-10-09","az","Mountain","NORTH AMERICAN DESERTS","WARM DESERTS","Gila","Sonoran Desert","xeric freshwaters and endorheic (closed) basins","Deserts and Xeric Shrublands","Lower Colorado Region","Mountains","Pacific","freshwater","canal","canal","surfacewater","canal","grabsample","modifiedmooreswab",1,10000,"culture","y","n",1,"p","p",10000,"molecular","y","y","n","n","n",NA,NA,NA,NA,NA,NA,547.5,"idexxquantitray","mpn","mpn",3629.4,"idexxquantitray","mpn","mpn"
"3","pawq","pawq_g_82","2018-09-19","az","Mountain","NORTH AMERICAN DESERTS","WARM DESERTS","Gila","Sonoran Desert","xeric freshwaters and endorheic (closed) basins","Deserts and Xeric Shrublands","Lower Colorado Region","Mountains","Pacific","freshwater","canal","canal","surfacewater","canal","grabsample","modifiedmooreswab",0,10000,"culture","y","n",0,"n","n",10000,"molecular","y","y","n","n","n",NA,NA,NA,NA,NA,NA,1,"idexxquantitray","mpn","mpn",3629.4,"idexxquantitray","mpn","mpn"
"4","pawq","pawq_g_221","2018-08-28","az","Mountain","NORTH AMERICAN DESERTS","WARM DESERTS","Gila","Sonoran Desert","xeric freshwaters and endorheic (closed) basins","Deserts and Xeric Shrublands","Lower Colorado Region","Mountains","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","modifiedmooreswab",0,10000,"culture","y","n",1,"p","p",10000,"molecular","y","y","n","n","n",NA,NA,NA,NA,NA,NA,25.7,"idexxquantitray","mpn","mpn",3629.4,"idexxquantitray","mpn","mpn"
"5","pawq","pawq_g_223","2018-10-09","az","Mountain","NORTH AMERICAN DESERTS","WARM DESERTS","Gila","Sonoran Desert","xeric freshwaters and endorheic (closed) basins","Deserts and Xeric Shrublands","Lower Colorado Region","Mountains","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","modifiedmooreswab",1,10000,"culture","y","n",1,"p","p",10000,"molecular","y","y","n","n","n",NA,NA,NA,NA,NA,NA,1203.3,"idexxquantitray","mpn","mpn",3629.4,"idexxquantitray","mpn","mpn"
"6","pawq","pawq_g_222","2018-09-19","az","Mountain","NORTH AMERICAN DESERTS","WARM DESERTS","Gila","Sonoran Desert","xeric freshwaters and endorheic (closed) basins","Deserts and Xeric Shrublands","Lower Colorado Region","Mountains","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","modifiedmooreswab",0,10000,"culture","y","n",1,"n","p",10000,"molecular","y","y","n","n","n",NA,NA,NA,NA,NA,NA,84.5,"idexxquantitray","mpn","mpn",3629.4,"idexxquantitray","mpn","mpn"
"7","pawq","pawq_g_77","2018-10-02","az","Mountain","NORTH AMERICAN DESERTS","WARM DESERTS","Gila","Sonoran Desert","xeric freshwaters and endorheic (closed) basins","Deserts and Xeric Shrublands","Lower Colorado Region","Mountains","Pacific","freshwater","canal","canal","surfacewater","canal","grabsample","modifiedmooreswab",1,10000,"culture","y","n",1,"p","p",10000,"molecular","y","y","n","n","n",NA,NA,NA,NA,NA,NA,3629.4,"idexxquantitray","mpn","mpn",3629.4,"idexxquantitray","mpn","mpn"
"8","pawq","pawq_g_75","2018-08-28","az","Mountain","NORTH AMERICAN DESERTS","WARM DESERTS","Gila","Sonoran Desert","xeric freshwaters and endorheic (closed) basins","Deserts and Xeric Shrublands","Lower Colorado Region","Mountains","Pacific","freshwater","canal","canal","surfacewater","canal","grabsample","modifiedmooreswab",1,10000,"culture","y","n",1,"p","p",10000,"molecular","y","y","n","n","n",NA,NA,NA,NA,NA,NA,57.3,"idexxquantitray","mpn","mpn",3629.4,"idexxquantitray","mpn","mpn"
"9","pawq","pawq_g_76","2018-09-19","az","Mountain","NORTH AMERICAN DESERTS","WARM DESERTS","Gila","Sonoran Desert","xeric freshwaters and endorheic (closed) basins","Deserts and Xeric Shrublands","Lower Colorado Region","Mountains","Pacific","freshwater","canal","canal","surfacewater","canal","grabsample","modifiedmooreswab",1,10000,"culture","y","n",1,"p","p",10000,"molecular","y","y","n","n","n",NA,NA,NA,NA,NA,NA,307.6,"idexxquantitray","mpn","mpn",3629.4,"idexxquantitray","mpn","mpn"
"10","pawq","pawq_g_71","2018-11-19","az","Mountain","NORTH AMERICAN DESERTS","WARM DESERTS","Gila","Sonoran Desert","xeric freshwaters and endorheic (closed) basins","Deserts and Xeric Shrublands","Lower Colorado Region","Mountains","Pacific","freshwater","canal","canal","surfacewater","canal","grabsample","modifiedmooreswab",1,10000,"culture","y","n",1,"p","p",10000,"molecular","y","y","n","n","n",NA,NA,NA,NA,NA,NA,461.1,"idexxquantitray","mpn","mpn",3629.4,"idexxquantitray","mpn","mpn"
